Job Title,Company Name,Date,Location,Skills,Job Link,Salary,Job Requirements
Senior Odoo Developer,PerfectTech,11 hours ago,"Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Computer Science · Development · Information Technology (IT) · Software · Software Development · Python · JavaScript,https://wuzzuf.net/jobs/p/bAqsIkXunHDI-Senior-Odoo-Developer-Perfect-Tech-Cairo-Egypt?o=46&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Cloud DevOps Intern,Appgain,9 days ago,"Dokki, Giza, Egypt ",InternshipEntry Level · 0 - 1 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · AWS · Cloud · DevOps · Engineering · Docker,https://wuzzuf.net/jobs/p/4Z1Dx43l2R1n-Cloud-DevOps-Intern-Appgain-Giza-Egypt?o=47&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Power BI Analyst,Dynamicslink,11 days ago,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Power BI · Analyzing data · Information Technology (IT) · Data · SQL · Computer Science · Telecom Engineering,https://wuzzuf.net/jobs/p/9KaMGqzG1270-Power-BI-Analyst-Dynamicslink-Cairo-Egypt?o=48&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Research And Development Engineer,Simplex,13 days ago,"Cairo, Egypt ",Full TimeExperienced · 5 - 6 Yrs of Exp · R&D/Science · Analyst/Research · Engineering - Mechanical/Electrical · Engineering · Mechatronics · Python · SolidWorks · CAD · Research Development,https://wuzzuf.net/jobs/p/Qf7QBoOzf4zI-Research-And-Development-Engineer-Simplex-Cairo-Egypt?o=49&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
"RPA Developer (Automation Anywhere, UiPath, Blue Prism)",Tarqeem Solutions,13 days ago,"Mohandessin, Giza, Egypt ",Full TimeWork From HomeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · RPA · Automation Anywhere · Automation · BluePrism · Software Development · Computer Science · Information Technology (IT) · Python,https://wuzzuf.net/jobs/p/e3IR8vKsKKIy-RPA-Developer-Automation-Anywhere-UiPath-Blue-Prism-Tarqeem-Solutions-Giza-Egypt?o=50&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Backend Team Lead (Java),Confidential,13 days ago,"New Cairo, Cairo, Egypt ",Full TimeManager · 8 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · coding · Computer Science · Design · Engineering · Information Technology (IT) · Java · Lead · Software,https://wuzzuf.net/jobs/p/LrYuwvYg8Vza-Backend-Team-Lead-Java-Cairo-Egypt?o=51&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Software Engineer,Appgain,17 days ago,"Dokki, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python Developer · UML · IT · Flask · RestAPI · Mongo DB · Computer Science · SQL,https://wuzzuf.net/jobs/p/Na28neFCFjJe-Software-Engineer-Appgain-Giza-Egypt?o=52&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Senior Backend Engineer,LxT,15 days ago,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Docker · Python · Programming · Software Development · Testing · Agile · AWS Cloud · Flask,https://wuzzuf.net/jobs/p/q5gRd0NwEntJ-Senior-Backend-Engineer-LxT-Giza-Egypt?o=53&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Senior Devops Engineer,SURE International Technology,15 days ago,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · DevOps · Git · Computer Science · Software Development · Software · AWS Cloud · Cloud,https://wuzzuf.net/jobs/p/PdXxOOf4pE5D-Senior-Devops-Engineer-SURE-International-Technology-Cairo-Egypt?o=54&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Backend Developer,LxT,15 days ago,"Mohandessin, Giza, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Flask · Programming · Azure · GCP · Amazon Web Services · Agile,https://wuzzuf.net/jobs/p/NC3rSyO6wtYC-Backend-Developer-LxT-Giza-Egypt?o=55&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
